customer_id,snapshot_date,tenure_months,spend_last_30d,leaky_col,churned
c0061,2023-01-01,7,357.31,1,1
c0062,2023-01-01,41,455.13,0,0
c0063,2023-01-01,42,97.06,1,0
c0064,2023-01-01,45,44.47,1,0
c0065,2023-01-01,3,3.2,1,0
c0066,2023-01-01,44,294.94,1,0
c0067,2023-01-01,48,336.26,0,1
c0068,2023-01-01,39,301.12,1,0
c0069,2023-01-01,6,249.99,0,0
c0070,2023-01-01,19,194.03,0,1
c0071,2023-01-01,42,43.88,1,0
c0072,2023-01-01,58,236.15,1,0
c0073,2023-01-01,8,457.66,1,1
c0074,2023-01-01,36,35.16,0,0
c0075,2023-01-01,40,248.29,1,1
c0076,2023-01-01,16,159.01,1,0
c0077,2023-01-01,2,253.73,0,0
c0078,2023-01-01,14,289.38,0,1
c0079,2023-01-01,44,244.42,1,0
c0080,2023-01-01,30,481.51,0,0
c0081,2023-01-01,39,406.77,0,0
c0082,2023-01-01,46,456.85,1,1
c0083,2023-01-01,33,190.91,1,0
c0084,2023-01-01,42,390.6,1,0
c0085,2023-01-01,1,438.76,0,1
c0086,2023-01-01,49,394.58,1,0
c0087,2023-01-01,41,398.32,0,0
c0088,2023-01-01,25,208.72,0,0
c0089,2023-01-01,35,203.47,0,1
c0090,2023-01-01,26,425.94,1,1
c0091,2023-01-01,24,410.55,1,0
c0092,2023-01-01,3,212.05,1,0
c0093,2023-01-01,39,251.84,1,0
c0094,2023-01-01,31,238.07,1,0
c0095,2023-01-01,9,146.96,1,0
c0096,2023-01-01,35,46.92,1,0
c0097,2023-01-01,55,238.08,0,0
c0098,2023-01-01,39,293.15,0,1
c0099,2023-01-01,17,342.03,1,0
c0100,2023-01-01,35,291.66,1,1
c0101,2023-01-01,8,284.51,1,0
c0102,2023-01-01,47,406.62,1,0
c0103,2023-01-01,17,85.51,0,0
c0104,2023-01-01,43,219.61,1,0
c0105,2023-01-01,46,363.06,0,0
c0106,2023-01-01,58,431.47,0,0
c0107,2023-01-01,20,449.41,0,1
c0108,2023-01-01,11,163.99,1,1
c0109,2023-01-01,59,181.41,1,0
c0110,2023-01-01,37,99.65,1,0
c0111,2023-01-01,33,81.68,0,0
c0112,2023-01-01,12,278.42,1,0
c0113,2023-01-01,47,6.07,1,0
c0114,2023-01-01,25,323.02,1,0
c0115,2023-01-01,18,123.2,0,0
c0116,2023-01-01,36,496.01,0,0
c0117,2023-01-01,5,294.98,0,0
c0118,2023-01-01,54,156.3,0,0
c0119,2023-01-01,25,170.87,1,0
c0120,2023-01-01,50,292.49,1,0
c0121,2023-01-01,54,36.33,0,1
c0122,2023-01-01,11,95.56,1,0
c0123,2023-01-01,59,226.04,0,0
c0124,2023-01-01,50,374.38,0,0
c0125,2023-01-01,7,41.4,1,0
c0126,2023-01-01,39,213.36,1,1
c0127,2023-01-01,20,472.51,0,1
c0128,2023-01-01,25,411.07,1,0
c0129,2023-01-01,3,412.0,0,0
c0130,2023-01-01,33,378.8,1,0
c0131,2023-01-01,24,411.4,1,1
c0132,2023-01-01,33,43.34,1,0
c0133,2023-01-01,57,101.08,0,0
c0134,2023-01-01,59,2.45,0,0
c0135,2023-01-01,32,132.35,1,0
c0136,2023-01-01,30,293.19,0,0
c0137,2023-01-01,37,490.25,1,0
c0138,2023-01-01,40,418.52,1,0
c0139,2023-01-01,7,315.75,1,0
c0140,2023-01-01,6,113.25,1,0
c0141,2023-01-01,12,288.6,0,0
c0142,2023-01-01,2,380.24,1,1
c0143,2023-01-01,18,206.98,1,0
c0144,2023-01-01,44,292.74,1,0
c0145,2023-01-01,47,231.43,1,0
c0146,2023-01-01,28,347.65,0,0
c0147,2023-01-01,11,485.92,0,0
c0148,2023-01-01,18,420.59,1,0
c0149,2023-01-01,47,129.14,0,1
c0000,2023-01-31,27,422.06,1,0
c0001,2023-01-31,16,287.86,0,0
c0002,2023-01-31,4,193.84,1,1
c0003,2023-01-31,38,447.36,1,1
c0004,2023-01-31,44,318.14,0,0
c0005,2023-01-31,11,95.79,1,1
c0006,2023-01-31,58,407.76,1,0
c0007,2023-01-31,20,275.52,0,1
c0008,2023-01-31,27,386.63,0,0
c0009,2023-01-31,48,147.04,0,0
c0010,2023-01-31,43,288.45,0,0
c0011,2023-01-31,48,318.71,0,0
c0012,2023-01-31,36,193.65,1,0
c0013,2023-01-31,19,170.16,1,0
c0014,2023-01-31,13,306.17,1,0
c0015,2023-01-31,53,282.89,0,0
c0016,2023-01-31,11,421.51,0,1
c0017,2023-01-31,11,470.85,1,0
c0018,2023-01-31,33,241.5,0,1
c0019,2023-01-31,55,448.85,1,0
c0020,2023-01-31,3,257.58,1,0
c0021,2023-01-31,13,124.28,1,0
c0022,2023-01-31,40,386.78,0,0
c0023,2023-01-31,39,147.96,0,0
c0024,2023-01-31,11,6.87,0,0
c0025,2023-01-31,15,307.08,1,0
c0026,2023-01-31,37,242.26,1,0
c0027,2023-01-31,54,415.32,1,0
c0028,2023-01-31,47,99.65,0,0
c0029,2023-01-31,27,97.3,1,0
c0030,2023-01-31,3,158.0,1,0
c0031,2023-01-31,22,361.19,1,1
c0032,2023-01-31,8,365.35,0,0
c0033,2023-01-31,59,223.93,1,0
c0034,2023-01-31,17,115.69,0,0
c0035,2023-01-31,32,431.14,0,0
c0036,2023-01-31,33,284.09,1,0
c0037,2023-01-31,38,84.99,1,1
c0038,2023-01-31,56,38.22,0,0
c0039,2023-01-31,34,403.58,0,1
c0040,2023-01-31,27,236.6,0,0
c0041,2023-01-31,16,111.4,0,0
c0042,2023-01-31,26,208.59,1,0
c0043,2023-01-31,21,332.07,1,0
c0044,2023-01-31,16,290.95,0,0
c0045,2023-01-31,19,294.27,1,1
c0046,2023-01-31,30,161.53,0,0
c0047,2023-01-31,51,447.74,0,0
c0048,2023-01-31,18,242.56,1,0
c0049,2023-01-31,16,444.93,0,0
c0050,2023-01-31,37,360.58,0,0
c0051,2023-01-31,8,343.71,1,0
c0052,2023-01-31,23,334.6,0,1
c0053,2023-01-31,25,210.44,0,0
c0054,2023-01-31,56,213.48,0,0
c0055,2023-01-31,52,354.25,0,0
c0056,2023-01-31,44,374.45,0,0
c0057,2023-01-31,34,68.38,0,0
c0058,2023-01-31,23,81.97,1,0
c0059,2023-01-31,16,457.56,0,0
c0060,2023-01-31,3,469.01,0,1
c0061,2023-01-31,42,120.95,0,0
c0062,2023-01-31,13,232.19,1,0
c0063,2023-01-31,30,58.55,1,0
c0064,2023-01-31,22,225.52,1,0
c0065,2023-01-31,51,394.77,1,1
c0066,2023-01-31,57,188.35,0,0
c0067,2023-01-31,34,411.23,0,1
c0068,2023-01-31,21,444.52,1,1
c0069,2023-01-31,25,146.38,0,0
c0070,2023-01-31,25,35.7,1,0
c0071,2023-01-31,22,64.94,0,0
c0072,2023-01-31,25,121.79,0,0
c0073,2023-01-31,59,481.13,0,0
c0074,2023-01-31,48,15.27,1,1
c0075,2023-01-31,26,332.97,0,0
c0076,2023-01-31,25,397.68,1,0
c0077,2023-01-31,33,362.7,0,0
c0078,2023-01-31,31,43.72,0,0
c0079,2023-01-31,23,445.18,1,0
c0080,2023-01-31,57,112.83,0,0
c0081,2023-01-31,30,325.1,1,0
c0082,2023-01-31,16,217.72,1,0
c0083,2023-01-31,24,418.6,0,1
c0084,2023-01-31,52,199.24,1,0
c0085,2023-01-31,11,464.76,0,1
c0086,2023-01-31,52,298.67,1,0
c0087,2023-01-31,6,414.95,0,0
c0088,2023-01-31,15,358.3,1,0
c0089,2023-01-31,19,401.12,1,1
c0090,2023-01-31,7,308.12,0,0
c0091,2023-01-31,32,86.91,0,0
c0092,2023-01-31,40,66.4,1,0
c0093,2023-01-31,50,395.01,0,0
c0094,2023-01-31,43,283.05,1,0
c0095,2023-01-31,31,493.84,0,0
c0096,2023-01-31,43,391.04,0,0
c0097,2023-01-31,30,323.01,1,1
c0098,2023-01-31,30,493.52,0,0
c0099,2023-01-31,24,423.98,0,0
c0100,2023-01-31,46,386.31,0,0
c0101,2023-01-31,59,68.33,1,0
c0102,2023-01-31,53,162.94,0,0
c0103,2023-01-31,10,161.23,1,1
c0104,2023-01-31,12,459.59,1,0
c0105,2023-01-31,15,44.85,1,0
c0106,2023-01-31,14,98.43,1,0
c0107,2023-01-31,31,177.88,1,0
c0108,2023-01-31,12,103.51,1,0
c0109,2023-01-31,55,55.87,0,1
c0110,2023-01-31,27,5.95,0,0
c0111,2023-01-31,51,135.32,0,0
c0112,2023-01-31,8,175.91,1,0
c0113,2023-01-31,1,488.12,0,0
c0114,2023-01-31,9,328.99,0,0
c0115,2023-01-31,9,105.69,0,0
c0116,2023-01-31,51,497.65,0,0
c0117,2023-01-31,31,96.96,1,0
c0118,2023-01-31,30,37.69,1,0
c0119,2023-01-31,14,285.22,0,0
c0120,2023-01-31,2,234.83,0,0
c0121,2023-01-31,3,185.5,0,0
c0122,2023-01-31,48,434.6,0,0
c0123,2023-01-31,15,287.77,1,0
c0124,2023-01-31,11,411.81,0,0
c0125,2023-01-31,30,65.04,0,1
c0126,2023-01-31,9,201.7,1,0
c0127,2023-01-31,29,113.17,1,1
c0128,2023-01-31,1,386.49,0,1
c0129,2023-01-31,24,95.63,1,0
c0130,2023-01-31,40,274.54,0,0
c0131,2023-01-31,26,22.86,0,0
c0132,2023-01-31,4,376.32,1,0
c0133,2023-01-31,44,1.91,1,0
c0134,2023-01-31,17,163.33,1,0
c0135,2023-01-31,41,316.06,0,0
c0136,2023-01-31,54,125.68,1,0
c0137,2023-01-31,23,248.47,1,1
c0138,2023-01-31,30,441.19,1,0
c0139,2023-01-31,7,225.69,1,0
c0140,2023-01-31,21,382.08,1,0
c0141,2023-01-31,41,329.13,0,0
c0142,2023-01-31,51,429.92,1,0
c0143,2023-01-31,8,356.49,0,0
c0144,2023-01-31,39,421.21,1,0
c0145,2023-01-31,14,258.45,1,0
c0146,2023-01-31,50,420.96,0,0
c0147,2023-01-31,38,224.49,0,0
c0148,2023-01-31,52,426.65,1,1
c0149,2023-01-31,35,291.25,0,0
c0000,2023-03-02,14,275.3,1,0
c0001,2023-03-02,27,382.16,0,0
c0002,2023-03-02,23,86.89,1,0
c0003,2023-03-02,52,483.44,0,0
c0004,2023-03-02,43,148.08,1,0
c0005,2023-03-02,32,177.36,1,0
c0006,2023-03-02,56,14.14,1,0
c0007,2023-03-02,1,241.27,0,0
c0008,2023-03-02,49,121.05,0,0
c0009,2023-03-02,59,193.87,1,0
c0010,2023-03-02,11,353.05,0,0
c0011,2023-03-02,53,328.22,0,1
c0012,2023-03-02,53,146.91,0,0
c0013,2023-03-02,10,340.38,1,0
c0014,2023-03-02,54,52.94,0,0
c0015,2023-03-02,56,284.19,0,0
c0016,2023-03-02,31,38.47,1,0
c0017,2023-03-02,42,340.69,0,0
c0018,2023-03-02,57,335.85,0,0
c0019,2023-03-02,50,482.11,0,0
c0020,2023-03-02,16,265.65,1,0
c0021,2023-03-02,58,61.38,1,0
c0022,2023-03-02,55,411.83,0,0
c0023,2023-03-02,20,314.54,1,0
c0024,2023-03-02,41,385.89,1,0
c0025,2023-03-02,48,327.68,0,0
c0026,2023-03-02,6,183.65,1,0
c0027,2023-03-02,9,427.59,1,1
c0028,2023-03-02,14,395.06,0,0
c0029,2023-03-02,44,341.63,0,0
c0030,2023-03-02,35,172.42,1,0
c0031,2023-03-02,41,281.33,0,0
c0032,2023-03-02,44,191.66,0,1
c0033,2023-03-02,16,6.5,0,0
c0034,2023-03-02,46,217.96,0,0
c0035,2023-03-02,57,145.63,1,0
c0036,2023-03-02,28,133.2,0,1
c0037,2023-03-02,17,276.37,0,1
c0038,2023-03-02,45,458.36,0,1
c0039,2023-03-02,48,485.34,0,0
c0040,2023-03-02,54,281.6,1,1
c0041,2023-03-02,49,209.01,1,0
c0042,2023-03-02,50,56.61,0,0
c0043,2023-03-02,1,259.34,1,0
c0044,2023-03-02,31,252.1,1,0
c0045,2023-03-02,38,153.42,0,0
c0046,2023-03-02,27,220.56,1,1
c0047,2023-03-02,11,45.33,0,0
c0048,2023-03-02,34,295.36,1,0
c0049,2023-03-02,14,54.89,0,0
c0050,2023-03-02,31,248.58,1,0
c0051,2023-03-02,40,216.66,1,0
c0052,2023-03-02,36,470.97,0,1
c0053,2023-03-02,25,10.09,1,0
c0054,2023-03-02,26,175.05,1,0
c0055,2023-03-02,2,400.1,1,0
c0056,2023-03-02,27,228.55,1,1
c0057,2023-03-02,4,408.12,1,1
c0058,2023-03-02,32,259.48,1,0
c0059,2023-03-02,54,107.73,0,0
c0060,2023-03-02,16,73.85,1,0
c0061,2023-03-02,21,234.14,1,0
c0062,2023-03-02,8,412.32,0,0
c0063,2023-03-02,18,156.1,1,0
c0064,2023-03-02,24,383.92,0,1
c0065,2023-03-02,9,129.63,0,0
c0066,2023-03-02,25,241.76,0,1
c0067,2023-03-02,48,48.0,1,1
c0068,2023-03-02,21,121.96,1,1
c0069,2023-03-02,32,73.25,1,1
c0070,2023-03-02,7,198.59,1,0
c0071,2023-03-02,29,100.48,1,1
c0072,2023-03-02,2,247.29,0,0
c0073,2023-03-02,16,234.62,1,0
c0074,2023-03-02,42,377.45,0,0
c0075,2023-03-02,21,385.8,1,0
c0076,2023-03-02,32,408.97,0,0
c0077,2023-03-02,33,494.23,1,0
c0078,2023-03-02,57,6.68,1,0
c0079,2023-03-02,7,436.25,0,0
c0080,2023-03-02,33,66.63,0,0
c0081,2023-03-02,59,490.83,1,0
c0082,2023-03-02,41,269.62,1,1
c0083,2023-03-02,44,192.0,1,1
c0084,2023-03-02,54,184.98,1,0
c0085,2023-03-02,2,82.49,0,0
c0086,2023-03-02,16,41.11,1,0
c0087,2023-03-02,56,143.39,1,0
c0088,2023-03-02,5,351.48,1,0
c0089,2023-03-02,56,171.04,1,0
c0090,2023-03-02,6,394.88,0,0
c0091,2023-03-02,29,402.3,1,0
c0092,2023-03-02,14,76.67,1,0
c0093,2023-03-02,4,374.09,1,1
c0094,2023-03-02,54,184.52,0,0
c0095,2023-03-02,52,445.0,0,0
c0096,2023-03-02,54,467.88,1,1
c0097,2023-03-02,58,111.11,1,0
c0098,2023-03-02,6,123.12,1,0
c0099,2023-03-02,48,240.04,0,1
c0100,2023-03-02,28,187.06,0,0
c0101,2023-03-02,42,264.83,0,0
c0102,2023-03-02,40,146.77,1,1
c0103,2023-03-02,37,272.97,0,0
c0104,2023-03-02,39,303.64,1,1
c0105,2023-03-02,39,165.45,0,0
c0106,2023-03-02,36,81.73,1,1
c0107,2023-03-02,28,321.35,0,0
c0108,2023-03-02,20,347.55,1,0
c0109,2023-03-02,36,161.89,1,0
c0110,2023-03-02,36,35.85,1,0
c0111,2023-03-02,3,488.03,1,0
c0112,2023-03-02,43,98.24,0,0
c0113,2023-03-02,42,290.79,0,0
c0114,2023-03-02,36,265.73,1,0
c0115,2023-03-02,47,20.31,0,0
c0116,2023-03-02,48,12.73,0,0
c0117,2023-03-02,36,397.22,0,1
c0118,2023-03-02,55,6.62,0,0
c0119,2023-03-02,21,421.44,0,0
c0120,2023-03-02,49,130.37,1,0
c0121,2023-03-02,14,349.32,1,0
c0122,2023-03-02,44,328.75,1,0
c0123,2023-03-02,58,348.62,0,1
c0124,2023-03-02,50,3.62,1,0
c0125,2023-03-02,20,52.76,1,0
c0126,2023-03-02,8,268.0,1,0
c0127,2023-03-02,40,102.95,1,0
c0128,2023-03-02,43,291.85,0,1
c0129,2023-03-02,45,327.07,1,0
c0130,2023-03-02,56,13.59,1,0
c0131,2023-03-02,47,40.52,1,1
c0132,2023-03-02,47,386.99,1,0
c0133,2023-03-02,12,380.11,1,0
c0134,2023-03-02,59,406.56,1,1
c0135,2023-03-02,55,229.29,0,0
c0136,2023-03-02,20,258.43,0,0
c0137,2023-03-02,55,167.09,1,0
c0138,2023-03-02,30,149.83,1,0
c0139,2023-03-02,37,118.79,0,1
c0140,2023-03-02,47,111.35,0,1
c0141,2023-03-02,57,62.46,0,0
c0142,2023-03-02,50,2.2,0,1
c0143,2023-03-02,14,122.57,1,1
c0144,2023-03-02,12,275.82,1,0
c0145,2023-03-02,45,468.49,1,0
c0146,2023-03-02,56,257.09,0,0
c0147,2023-03-02,25,194.34,0,0
c0148,2023-03-02,6,69.2,0,0
c0149,2023-03-02,7,279.58,0,1
c0000,2023-04-01,6,13.87,1,0
c0001,2023-04-01,42,261.91,0,1
c0002,2023-04-01,7,390.24,0,0
c0003,2023-04-01,26,248.07,0,0
c0004,2023-04-01,51,70.11,0,0
c0005,2023-04-01,35,437.09,1,0
c0006,2023-04-01,37,371.48,0,0
c0007,2023-04-01,27,17.89,1,0
c0008,2023-04-01,5,333.29,0,0
c0009,2023-04-01,41,496.71,0,1
c0010,2023-04-01,3,240.34,0,0
c0011,2023-04-01,11,423.64,1,0
c0012,2023-04-01,9,203.16,0,0
c0013,2023-04-01,46,451.44,1,0
c0014,2023-04-01,41,207.84,1,0
c0015,2023-04-01,52,39.38,1,0
c0016,2023-04-01,57,447.25,1,0
c0017,2023-04-01,48,203.15,0,0
c0018,2023-04-01,51,132.78,1,0
c0019,2023-04-01,44,73.34,1,0
c0020,2023-04-01,3,478.15,1,0
c0021,2023-04-01,7,91.41,1,0
c0022,2023-04-01,31,473.64,1,0
c0023,2023-04-01,22,293.45,0,1
c0024,2023-04-01,50,361.11,1,0
c0025,2023-04-01,21,356.2,1,0
c0026,2023-04-01,21,162.17,1,0
c0027,2023-04-01,43,350.45,0,1
c0028,2023-04-01,32,328.03,0,0
c0029,2023-04-01,49,379.92,0,0
c0030,2023-04-01,51,6.07,1,1
c0031,2023-04-01,59,287.7,1,1
c0032,2023-04-01,39,204.52,0,0
c0033,2023-04-01,56,340.4,1,1
c0034,2023-04-01,20,26.49,0,0
c0035,2023-04-01,44,339.24,0,0
c0036,2023-04-01,35,96.77,0,1
c0037,2023-04-01,24,494.84,1,1
c0038,2023-04-01,5,400.85,0,0
c0039,2023-04-01,16,182.36,1,0
c0040,2023-04-01,19,402.19,0,1
c0041,2023-04-01,25,329.7,0,0
c0042,2023-04-01,2,42.48,1,0
c0043,2023-04-01,41,235.37,1,0
c0044,2023-04-01,55,27.73,0,0
c0045,2023-04-01,9,299.32,1,1
c0046,2023-04-01,58,309.22,1,0
c0047,2023-04-01,58,100.67,1,0
c0048,2023-04-01,9,362.68,0,0
c0049,2023-04-01,53,382.51,1,0
c0050,2023-04-01,13,328.17,0,1
c0051,2023-04-01,18,11.58,0,0
c0052,2023-04-01,12,35.13,1,0
c0053,2023-04-01,7,449.72,0,0
c0054,2023-04-01,42,461.0,0,0
c0055,2023-04-01,37,356.05,1,0
c0056,2023-04-01,28,486.25,0,0
c0057,2023-04-01,21,46.79,0,1
c0058,2023-04-01,28,480.85,1,1
c0059,2023-04-01,30,339.45,0,0
c0060,2023-04-01,44,104.91,1,0
c0061,2023-04-01,31,123.24,0,0
c0062,2023-04-01,57,457.33,0,1
c0063,2023-04-01,28,76.74,1,0
c0064,2023-04-01,11,23.66,1,0
c0065,2023-04-01,43,259.55,0,0
c0066,2023-04-01,28,188.45,0,0
c0067,2023-04-01,26,168.12,1,0
c0068,2023-04-01,2,4.03,1,0
c0069,2023-04-01,58,115.52,0,0
c0070,2023-04-01,15,256.51,1,1
c0071,2023-04-01,57,103.99,0,0
c0072,2023-04-01,9,383.72,0,0
c0073,2023-04-01,37,461.94,0,0
c0074,2023-04-01,32,225.34,1,0
c0075,2023-04-01,3,139.45,0,0
c0076,2023-04-01,11,131.16,0,1
c0077,2023-04-01,2,286.37,1,0
c0078,2023-04-01,20,243.52,1,0
c0079,2023-04-01,17,72.8,0,0
c0080,2023-04-01,47,382.31,1,0
c0081,2023-04-01,1,430.18,1,0
c0082,2023-04-01,19,492.42,1,0
c0083,2023-04-01,18,299.32,0,0
c0084,2023-04-01,37,233.69,1,0
c0085,2023-04-01,58,316.57,0,1
c0086,2023-04-01,38,480.51,1,0
c0087,2023-04-01,44,236.79,1,0
c0088,2023-04-01,50,56.77,0,1
c0089,2023-04-01,27,418.32,0,0
c0090,2023-04-01,51,16.78,0,0
c0091,2023-04-01,58,319.36,0,0
c0092,2023-04-01,35,70.7,0,0
c0093,2023-04-01,6,265.24,1,1
c0094,2023-04-01,6,356.94,1,1
c0095,2023-04-01,55,86.68,0,0
c0096,2023-04-01,9,114.33,0,0
c0097,2023-04-01,36,106.51,0,0
c0098,2023-04-01,25,111.39,0,0
c0099,2023-04-01,5,224.13,1,0
c0100,2023-04-01,23,296.85,0,0
c0101,2023-04-01,52,122.65,0,0
c0102,2023-04-01,57,443.0,0,0
c0103,2023-04-01,17,442.97,1,0
c0104,2023-04-01,22,454.16,0,0
c0105,2023-04-01,54,387.97,0,0
c0106,2023-04-01,31,492.31,1,0
c0107,2023-04-01,58,178.52,1,0
c0108,2023-04-01,44,279.43,1,1
c0109,2023-04-01,15,4.32,0,0
c0110,2023-04-01,56,180.98,0,0
c0111,2023-04-01,13,474.46,0,0
c0112,2023-04-01,1,303.03,0,0
c0113,2023-04-01,31,457.73,0,1
c0114,2023-04-01,40,421.82,0,0
c0115,2023-04-01,5,383.89,1,0
c0116,2023-04-01,37,111.95,1,0
c0117,2023-04-01,1,118.96,0,0
c0118,2023-04-01,46,190.65,1,1
c0119,2023-04-01,54,134.86,0,0
c0120,2023-04-01,39,442.84,1,0
c0121,2023-04-01,42,245.35,0,0
c0122,2023-04-01,55,70.69,1,0
c0123,2023-04-01,37,367.27,1,0
c0124,2023-04-01,48,215.16,1,0
c0125,2023-04-01,3,42.88,1,0
c0126,2023-04-01,48,167.16,0,0
c0127,2023-04-01,15,186.45,0,0
c0128,2023-04-01,52,422.49,0,0
c0129,2023-04-01,46,176.31,1,1
c0130,2023-04-01,33,408.08,0,0
c0131,2023-04-01,30,444.28,0,0
c0132,2023-04-01,35,55.2,1,0
c0133,2023-04-01,46,189.61,1,0
c0134,2023-04-01,58,493.52,0,0
c0135,2023-04-01,27,273.6,0,0
c0136,2023-04-01,40,147.62,0,0
c0137,2023-04-01,28,469.74,0,0
c0138,2023-04-01,13,473.37,1,0
c0139,2023-04-01,49,84.28,1,0
c0140,2023-04-01,38,239.05,0,1
c0141,2023-04-01,25,407.18,0,0
c0142,2023-04-01,10,380.88,0,0
c0143,2023-04-01,26,465.22,1,0
c0144,2023-04-01,33,209.76,0,0
c0145,2023-04-01,35,124.64,1,0
c0146,2023-04-01,3,376.2,0,0
c0147,2023-04-01,12,138.36,1,0
c0148,2023-04-01,1,60.3,0,0
c0149,2023-04-01,44,87.28,0,0
c0000,2023-05-01,47,279.26,0,1
c0001,2023-05-01,54,207.64,0,1
c0002,2023-05-01,45,293.52,0,1
c0003,2023-05-01,56,184.28,1,0
c0004,2023-05-01,26,11.19,1,0
c0005,2023-05-01,18,191.0,0,0
c0006,2023-05-01,28,391.59,0,0
c0007,2023-05-01,39,488.58,0,1
c0008,2023-05-01,26,15.25,0,0
c0009,2023-05-01,51,428.15,0,0
c0010,2023-05-01,20,92.15,0,1
c0011,2023-05-01,26,31.41,0,1
c0012,2023-05-01,26,100.78,1,0
c0013,2023-05-01,7,456.34,0,0
c0014,2023-05-01,31,342.28,0,0
c0015,2023-05-01,40,89.37,1,1
c0016,2023-05-01,22,104.13,1,0
c0017,2023-05-01,46,162.49,0,0
c0018,2023-05-01,52,264.56,1,0
c0019,2023-05-01,57,371.72,1,0
c0020,2023-05-01,19,228.75,0,0
c0021,2023-05-01,27,98.34,0,0
c0022,2023-05-01,27,470.55,0,0
c0023,2023-05-01,15,49.31,1,1
c0024,2023-05-01,9,218.66,1,0
c0025,2023-05-01,24,216.61,0,1
c0026,2023-05-01,18,274.83,1,1
c0027,2023-05-01,2,215.04,1,0
c0028,2023-05-01,26,197.79,0,0
c0029,2023-05-01,13,409.88,0,0
c0030,2023-05-01,1,133.88,0,0
c0031,2023-05-01,34,132.15,0,1
c0032,2023-05-01,19,289.08,0,0
c0033,2023-05-01,17,129.29,0,1
c0034,2023-05-01,12,127.24,0,0
c0035,2023-05-01,23,414.2,0,0
c0036,2023-05-01,9,376.8,1,1
c0037,2023-05-01,37,421.05,1,0
c0038,2023-05-01,6,15.48,0,0
c0039,2023-05-01,56,55.26,1,0
c0040,2023-05-01,32,495.49,0,0
c0041,2023-05-01,8,272.74,0,0
c0042,2023-05-01,15,25.28,0,0
c0043,2023-05-01,14,62.78,1,0
c0044,2023-05-01,50,375.11,1,0
c0045,2023-05-01,36,345.21,0,0
c0046,2023-05-01,30,117.03,1,0
c0047,2023-05-01,9,358.94,0,0
c0048,2023-05-01,21,4.33,0,1
c0049,2023-05-01,33,346.21,1,0
c0050,2023-05-01,28,331.57,0,1
c0051,2023-05-01,26,286.16,1,0
c0052,2023-05-01,8,362.29,0,1
c0053,2023-05-01,17,316.38,0,0
c0054,2023-05-01,8,131.14,0,1
c0055,2023-05-01,59,4.19,1,0
c0056,2023-05-01,15,233.5,0,0
c0057,2023-05-01,15,180.09,1,1
c0058,2023-05-01,52,270.96,1,0
c0059,2023-05-01,46,86.57,0,0
c0060,2023-05-01,7,284.72,0,0
c0061,2023-05-01,28,283.06,1,0
c0062,2023-05-01,18,259.06,0,1
